name,rank,charter,consolidated_assets
RBC BK GA NA/RBC US GRP HOLDS LLC ,211,NAT,5267
WELLS FARGO BK S CENT NA/WELLS FARGO & CO ,212,NAT,5262
GERMAN AMER BK/GERMAN AMER BC ,213,SNM,5210
PEOPLES BK/PEOPLES BC ,214,SMB,5134
CAMDEN NB/CAMDEN NAT CORP ,215,NAT,5068
STOCKMAN BK OF MT/STOCKMAN FC ,216,SNM,5019
HERITAGE BK OF CMRC/HERITAGE CMRC CORP ,217,SMB,4999
BANKPLUS/BANCPLUS CORP ,218,SNM,4940
FIRST NB ALASKA/ ,219,NAT,4928
METROPOLITAN CMRL BK/METROPOLITAN BK HOLD CORP ,220,SMB,4921
BRYN MAWR TC/BRYN MAWR BK CORP ,221,SMB,4911
CNB BK/CNB FC ,222,SNM,4880
BROADWAY NB/BROADWAY BSHRS ,223,NAT,4875
STOCK YARDS B&TC/STOCK YARDS BC ,224,SNM,4790
FIRST MID B&TC NA/FIRST MID BSHRS ,225,NAT,4778
MORTON CMNTY BK/HOMETOWN CMNTY BC ESOP & TR ,226,SNM,4767
FARMERS & MRCH BK CENT CA/FARMERS & MRCH BC ,227,SNM,4734
OCEAN BK/OCEAN BSHRS ,228,SNM,4704
MERCANTILE BK OF MI/MERCANTILE BK CORP ,229,SNM,4691
AMERICAN NB/AMERICAN NAT CORP ,230,NAT,4608
STIFEL BK/STIFEL FNCL CORP ,231,SMB,4566
FIRST FNCL BK NA/FIRST FC ,232,NAT,4554
NICOLET NB/NICOLET BSHRS ,233,NAT,4537
B1BANK/BUSINESS FIRST BSHRS ,234,SNM,4450
AMERICAN NB TX/ANB HC ,235,NAT,4449
INDEPENDENT BK/INDEPENDENT BK CORP ,236,SMB,4426
FIRST INTERNATIONAL B&TC/WATFORD CITY BSHRS ,237,SNM,4321
ENTERPRISE B&TC/ENTERPRISE BC ,238,SNM,4258
FIRST NB OF LONG ISLAND/FIRST OF LONG ISLAND CORP ,239,NAT,4254
